,order_item_id,product_category_name,price,Frecuencia,,% ACUMULADO,,,,,,,
1,2025,relogios_presentes,60.63053333,2025,2025,0.00%,,,,,,,
2,1985,cama_mesa_banho,100.9199597,4010,6035,0.00%,,,,,,,
3,1930,ferramentas_jardim,55.38306218,5940,11975,0.00%,,,,,,,
4,1766,beleza_saude,58.683188,7706,19681,0.01%,,,,,,,
5,1551,cama_mesa_banho,103.3117795,9257,28938,0.01%,,,,,,,
6,1498,moveis_decoracao,90.22676903,10755,39693,0.01%,,,,,,,
7,1428,moveis_decoracao,97.31691176,12183,51876,0.02%,,,,,,,
8,1364,moveis_escritorio,137.7741129,13547,65423,0.02%,,,,,,,
9,1202,telefonia,30.90476705,14749,80172,0.03%,,,,,,,
10,1170,cool_stuff,121.1243932,15919,96091,0.03%,,,,,,,
11,1155,relogios_presentes,198.4741385,17074,113165,0.04%,,,,,,,
12,1143,papelaria,82.68433946,18217,131382,0.04%,,,,,,,
13,1018,eletronicos,17.22562868,19235,150617,0.05%,,,,,,,
14,829,moveis_decoracao,77.18334138,20064,170681,0.06%,,,,,,,
15,789,beleza_saude,144.0550063,20853,191534,0.06%,,,,,,,
16,767,ferramentas_jardim,132.3118123,21620,213154,0.07%,,,,,,,
17,749,esporte_lazer,57.58070761,22369,235523,0.08%,,,,,,,
18,723,utilidades_domesticas,69.84605809,23092,258615,0.08%,,,,,,,
19,630,cama_mesa_banho,33.64447619,23722,282337,0.09%,,,,,,,
20,613,moveis_decoracao,65.17446982,24335,306672,0.10%,,,,,,,
21,585,relogios_presentes,329.6446667,24920,331592,0.11%,,,,,,,
22,578,relogios_presentes,196.5899135,25498,357090,0.12%,,,,,,,
23,560,eletronicos,21.26580357,26058,383148,0.13%,,,,,,,
24,558,cama_mesa_banho,59.75664875,26616,409764,0.13%,,,,,,,
25,539,brinquedos,235.9206308,27155,436919,0.14%,,,,,,,
26,536,eletrodomesticos,76.28682836,27691,464610,0.15%,,,,,,,
27,529,cama_mesa_banho,47.22595463,28220,492830,0.16%,,,,,,,
28,521,informatica_acessorios,29.5265643,28741,521571,0.17%,,,,,,,
29,520,utilidades_domesticas,57.63271154,29261,550832,0.18%,,,,,,,
30,454,informatica_acessorios,101.3884802,29715,580547,0.19%,,,,,,,
31,432,automotivo,149.4199537,30147,610694,0.20%,,,,,,,
32,431,cama_mesa_banho,109.089768,30578,641272,0.21%,,,,,,,
33,430,informatica_acessorios,61.30655814,31008,672280,0.22%,,,,,,,
34,428,informatica_acessorios,53.09327103,31436,703716,0.23%,,,,,,,
35,425,esporte_lazer,128.7042353,32711,736427,0.24%,,,,,,,
36,425,telefonia,28.85684706,32286,768713,0.25%,,,,,,,
37,425,malas_acessorios,78.96042353,31861,800574,0.26%,,,,,,,
38,410,telefonia,543.3562195,33531,834105,0.27%,,,,,,,
39,410,automotivo,62.72302439,33121,867226,0.28%,,,,,,,
40,405,beleza_saude,89.89864198,33936,901162,0.30%,,,,,,,
41,394,esporte_lazer,110.4505076,34330,935492,0.31%,,,,,,,
42,388,moveis_decoracao,119.7693299,34718,970210,0.32%,,,,,,,
43,379,informatica_acessorios,146.2430079,35097,1005307,0.33%,,,,,,,
44,373,esporte_lazer,122.3692761,35470,1040777,0.34%,,,,,,,
45,365,telefonia,17.94145205,35835,1076612,0.35%,,,,,,,
46,360,consoles_games,95.07063889,36195,1112807,0.36%,,,,,,,
47,359,papelaria,141.9729248,36554,1149361,0.38%,,,,,,,
48,346,esporte_lazer,42.17419075,36900,1186261,0.39%,,,,,,,
49,345,malas_acessorios,324.8858841,37245,1223506,0.40%,,,,,,,
50,341,cool_stuff,162.3917595,37586,1261092,0.41%,,,,,,,
51,339,informatica_acessorios,91.72855457,38603,1299695,0.43%,,,,,,,
52,339,brinquedos,47.21525074,38264,1337959,0.44%,,,,,,,
53,339,telefonia,28.77710914,37925,1375884,0.45%,,,,,,,
54,338,beleza_saude,108.0987278,38941,1414825,0.46%,,,,,,,
55,336,relogios_presentes,513.6425,39277,1454102,0.48%,,,,,,,
56,331,automotivo,112.9110574,39608,1493710,0.49%,,,,,,,
57,328,informatica_acessorios,94.08088415,39936,1533646,0.50%,,,,,,,
58,327,esporte_lazer,26.70804281,40263,1573909,0.52%,,,,,,,
59,325,relogios_presentes,121.0987692,40588,1614497,0.53%,,,,,,,
60,321,bebes,99.43367601,40909,1655406,0.54%,,,,,,,
61,307,esporte_lazer,140.2220847,41216,1696622,0.56%,,,,,,,
62,306,perfumaria,215.554281,41522,1738144,0.57%,,,,,,,
63,301,informatica_acessorios,104.3078073,41823,1779967,0.58%,,,,,,,
64,281,cama_mesa_banho,196.9770463,42104,1822071,0.60%,,,,,,,
65,269,moveis_decoracao,108.0019703,42911,1864982,0.61%,,,,,,,
66,269,informatica_acessorios,203.2684758,42642,1907624,0.62%,,,,,,,
67,269,fashion_bolsas_e_acessorios,39.8204461,42373,1949997,0.64%,,,,,,,
68,268,informatica_acessorios,127.8435075,43447,1993444,0.65%,,,,,,,
69,268,telefonia,32.665,43179,2036623,0.67%,,,,,,,
70,266,perfumaria,208.5350376,43713,2080336,0.68%,,,,,,,
71,263,brinquedos,100.8871483,43976,2124312,0.70%,,,,,,,
72,254,fashion_bolsas_e_acessorios,30.35846457,44484,2168796,0.71%,,,,,,,
73,254,esporte_lazer,143.6437008,44230,2213026,0.72%,,,,,,,
74,249,cama_mesa_banho,97.1115261,44733,2257759,0.74%,,,,,,,
75,246,moveis_decoracao,127.6329268,44979,2302738,0.75%,,,,,,,
76,240,brinquedos,67.64504167,45699,2348437,0.77%,,,,,,,
77,240,cama_mesa_banho,112.2608333,45459,2393896,0.78%,,,,,,,
78,240,consoles_games,24.94416667,45219,2439115,0.80%,,,,,,,
79,239,ferramentas_jardim,104.937364,45938,2485053,0.81%,,,,,,,
80,231,informatica_acessorios,81.75021645,46169,2531222,0.83%,,,,,,,
81,230,beleza_saude,297.3695652,46399,2577621,0.84%,,,,,,,
82,229,cama_mesa_banho,73.680131,46628,2624249,0.86%,,,,,,,
83,227,esporte_lazer,48.4061674,46855,2671104,0.87%,,,,,,,
84,225,beleza_saude,40.12177778,47080,2718184,0.89%,,,,,,,
85,224,audio,41.28839286,47304,2765488,0.91%,,,,,,,
86,222,bebes,71.69054054,47526,2813014,0.92%,,,,,,,
87,220,cama_mesa_banho,43.42554545,48186,2861200,0.94%,,,,,,,
88,220,ferramentas_jardim,54.14090909,47966,2909166,0.95%,,,,,,,
89,220,cama_mesa_banho,78.85813636,47746,2956912,0.97%,,,,,,,
90,218,moveis_decoracao,60.26238532,48404,3005316,0.98%,,,,,,,
91,216,beleza_saude,171.6222222,48836,3054152,1.00%,,,,,,,
92,216,utilidades_domesticas,44.99300926,48620,3102772,1.02%,,,,,,,
93,212,relogios_presentes,201.0783491,49048,3151820,1.03%,,,,,,,
94,210,informatica_acessorios,136.1539048,49258,3201078,1.05%,,,,,,,
95,209,cool_stuff,251.1348325,49885,3250963,1.06%,,,,,,,
96,209,fashion_bolsas_e_acessorios,54.49330144,49676,3300639,1.08%,,,,,,,
97,209,relogios_presentes,79.39349282,49467,3350106,1.10%,,,,,,,
98,206,informatica_acessorios,50.77592233,50091,3400197,1.11%,,,,,,,
99,205,informatica_acessorios,164.0574634,50296,3450493,1.13%,,,,,,,
100,204,esporte_lazer,84.44333333,50500,3500993,1.15%,,,,,,,
101,202,automotivo,124.2974752,50904,3551897,1.16%,,,,,,,
102,202,utilidades_domesticas,55.47440594,50702,3602599,1.18%,,,,,,,
103,200,pet_shop,110.39145,51104,3653703,1.20%,,,,,,,
104,196,alimentos,42.91346939,51300,3705003,1.21%,,,,,,,
105,195,utilidades_domesticas,21.72230769,51495,3756498,1.23%,,,,,,,
106,194,casa_construcao,79.2757732,51689,3808187,1.25%,,,,,,,
107,193,industria_comercio_e_negocios,95.57989637,52075,3860262,1.26%,,,,,,,
